UTM_X	UTM_Y	GDP值
343511.798972	3510442.548940	18.699074
344519.529168	3510188.188723	8.253583
345527.242204	3509933.833623	3.484753
346534.938098	3509679.483616	2.659785
347542.616865	3509425.138679	67.531700
348550.278523	3509170.798788	6.699333
349557.923089	3508916.463921	12.391885
350565.550578	3508662.134054	7.555631
351573.161008	3508407.809163	30.279646
352580.754395	3508153.489226	12.708556
353588.330756	3507899.174219	7.260152
354595.890108	3507644.864119	8.897171
355603.432467	3507390.558902	9.331759
356610.957850	3507136.258545	9.465860
357618.466273	3506881.963025	16.152061
358625.957754	3506627.672318	9.314951
359633.432308	3506373.386402	23.261745
360640.889953	3506119.105252	4.875769
361648.330706	3505864.828846	36.124088
362655.754581	3505610.557160	1.324563
363663.161598	3505356.290171	64.482948
335158.432588	3511611.916772	28.089167
336166.279824	3511357.511314	3.915959
337174.109756	3511103.111136	7.610606
338181.922399	3510848.716214	6.310484
339189.717772	3510594.326525	6.966880
340197.495889	3510339.942045	15.148129
341205.256769	3510085.562752	22.989559
342213.000427	3509831.188621	42.656403
343220.726881	3509576.819630	360.810516
344228.436146	3509322.455755	12.824460
345236.128241	3509068.096973	6.860607
346243.803180	3508813.743261	4.450773
347251.460982	3508559.394596	6.394231
348259.101662	3508305.050954	9.723751
349266.725238	3508050.712311	12.391885
350274.331725	3507796.378645	6.509970
351281.921142	3507542.049932	118.944748
352289.493503	3507287.726150	8.608431
353297.048827	3507033.407273	12.365466
354304.587129	3506779.093280	15.111938
355312.108427	3506524.784147	22.993130
356319.612736	3506270.479851	13.387325
357327.100074	3506016.180368	8.079849
358334.570458	3505761.885675	10.995552
359342.023903	3505507.595749	12.502982
360349.460427	3505253.310566	195.803741
361356.880046	3504999.030103	23.019283
362364.282777	3504744.754337	1.520164
363371.668636	3504490.483244	1.011415
364379.037641	3504236.216801	3.805450
365386.389807	3503981.954985	23.718327
335875.369772	3510491.783835	2.897228
336883.178850	3510237.380175	2.970551
337890.970627	3509982.981748	6.898553
338898.745121	3509728.588530	179.406998
339906.502349	3509474.200498	13.904843
340914.242326	3509219.817629	14.792241
341921.965070	3508965.439899	39.962494
342929.670598	3508711.067285	21.571455
343937.358926	3508456.699764	17.229290
344945.030070	3508202.337313	5.335780
345952.684048	3507947.979908	3.536560
346960.320876	3507693.627526	3.326942
347967.940571	3507439.280143	7.691075
348975.543149	3507184.937737	9.760607
349983.128627	3506930.600284	9.153340
350990.697022	3506676.267761	8.491279
351998.248350	3506421.940144	8.887445
353005.782628	3506167.617410	12.365466
354013.299873	3505913.299536	53.283535
355020.800102	3505658.986499	142.922180
356028.283330	3505404.678275	16.683203
357035.749575	3505150.374840	9.998611
358043.198853	3504896.076173	38.226498
359050.631181	3504641.782248	12.788657
360058.046576	3504387.493044	38.501228
361065.445054	3504133.208536	2.604598
362072.826632	3503878.928701	2.908910
363080.191327	3503624.653516	8.774400
364087.539155	3503370.382958	6.727997
365094.870132	3503116.117003	7.177016
366102.184276	3502861.855628	8.624406
367109.481604	3502607.598810	3.881480
370131.272851	3501844.855460	2.083690
371138.503077	3501590.616635	1.738433
373152.913345	3501082.152279	2.662915
336592.263809	3509371.626093	3.296430
337600.034712	3509117.224173	3.313882
338607.788320	3508862.827438	3.913924
339615.524650	3508608.435865	5.232608
340623.243717	3508354.049432	13.582845
341630.945540	3508099.668114	19.511562
342638.630134	3507845.291889	19.985161
343646.297516	3507590.920734	17.826042
344653.947703	3507336.554624	9.915071
345661.580711	3507082.193538	4.042207
346669.196557	3506827.837450	4.946777
347676.795259	3506573.486339	8.111340
348684.376831	3506319.140181	15.913713
349691.941292	3506064.798953	14.683668
350699.488658	3505810.462631	14.641194
351707.018945	3505556.131191	10.795297
352714.532170	3505301.804612	11.167603
353722.028349	3505047.482869	12.374575
354729.507501	3504793.165939	9.753982
355736.969640	3504538.853798	11.389854
356744.414784	3504284.546424	17.334562
357751.842949	3504030.243794	10.332089
358759.254153	3503775.945883	9.402473
359766.648411	3503521.652668	1.343770
360774.025740	3503267.364127	56.232609
361781.386157	3503013.080235	8.424238
362788.729679	3502758.800970	8.890119
363796.056323	3502504.526308	8.148731
364803.366104	3502250.256226	7.966288
365810.659039	3501995.990701	48.345833
366817.935146	3501741.729708	196.060028
367825.194441	3501487.473226	12.189212
368832.436940	3501233.221230	8.765698
369839.662660	3500978.973697	3.077288
370846.871618	3500724.730603	12.586987
371854.063831	3500470.491926	8.188981
372861.239314	3500216.257643	2.441872
373868.398086	3499962.027729	0.569149
374875.540161	3499707.802161	2.162966
376889.774291	3499199.363971	0.893771
377896.866379	3498945.151302	2.741714
338316.847378	3507997.043229	3.611154
339324.562802	3507742.648128	3.972720
340332.260952	3507488.258142	6.701086
341339.941845	3507233.873249	16.074520
342347.605497	3506979.493424	22.413805
343355.251926	3506725.118646	42.263756
344362.881147	3506470.748890	13.753159
345370.493178	3506216.384134	9.400574
346378.088035	3505962.024353	24.633711
347385.665735	3505707.669525	18.473974
348393.226294	3505453.319627	83.693283
349400.769730	3505198.974634	54.317581
350408.296058	3504944.634525	288.697876
351415.805296	3504690.299275	30.438543
352423.297460	3504435.968861	28.842993
353430.772567	3504181.643261	15.632395
354438.230633	3503927.322449	15.743159
355445.671676	3503673.006405	9.825058
356453.095711	3503418.695103	17.985067
357460.502755	3503164.388521	34.547451
358467.892826	3502910.086635	4.889138
359475.265940	3502655.789422	5.954786
360482.622112	3502401.496859	7.233092
361489.961361	3502147.208922	8.312457
362497.283703	3501892.925589	6.232639
363504.589154	3501638.646835	5.529278
364511.877730	3501384.372637	133.249344
365519.149450	3501130.102973	292.189514
366526.404329	3500875.837818	41.198936
367533.642383	3500621.577150	16.033499
368540.863630	3500367.320945	2.504674
369548.068086	3500113.069179	4.898468
370555.255769	3499858.821830	7.029042
371562.426693	3499604.578874	12.093487
372569.580877	3499350.340287	1.409102
373576.718336	3499096.106047	2.201298
374583.839088	3498841.876130	2.313494
375590.943148	3498587.650512	1.577615
376598.030535	3498333.429171	0.636776
377605.101263	3498079.212082	2.705661
378612.155351	3497824.999223	4.521702
380626.213669	3497316.586099	4.692340
339033.616815	3506876.837270	3.181002
340041.294039	3506622.443743	3.033310
341048.953995	3506368.055285	6.137544
342056.596697	3506113.671873	5.663233
343064.222165	3505859.293484	7.942894
344071.830413	3505604.920093	22.597885
345079.421458	3505350.551678	35.289455
346086.995318	3505096.188216	830.365662
347094.552009	3504841.829683	45.679043
348102.091547	3504587.476056	91.027138
349109.613949	3504333.127312	104.015976
350117.119233	3504078.783427	35.368835
351124.607414	3503824.444378	78.528000
352132.078509	3503570.110141	168.731613
353139.532535	3503315.780695	21.094450
354146.969509	3503061.456014	19.152922
355154.389446	3502807.136076	18.975729
356161.792365	3502552.820858	26.882683
357169.178281	3502298.510336	12.632339
358176.547211	3502044.204487	6.361028
359183.899172	3501789.903288	5.005727
360191.234181	3501535.606715	6.580475
361198.552253	3501281.314744	170.210388
362205.853406	3501027.027354	6.058825
363213.137657	3500772.744520	4.983057
364220.405022	3500518.466218	5.763821
365227.655517	3500264.192427	7.704922
366234.889160	3500009.923122	18.736176
367242.105966	3499755.658279	11.525049
368249.305953	3499501.397877	162.458359
369256.489138	3499247.141890	3.629956
370263.655536	3498992.890297	4.220346
371270.805165	3498738.643073	16.896381
372277.938041	3498484.400196	4.324536
373285.054181	3498230.161641	16.753321
374292.153601	3497975.927386	56.435253
375299.236318	3497721.697407	5.173136
376306.302349	3497467.471681	1.919867
377313.351710	3497213.250184	2.672905
378320.384418	3496959.032894	1.426984
379327.400490	3496704.819786	9.225527
380334.399942	3496450.610838	2.508006
381341.382791	3496196.406025	1.782750
339750.342988	3505756.606217	3.249185
340757.981998	3505502.214207	39.056927
341765.603744	3505247.827219	3.877933
342773.208242	3504993.445230	8.123429
343780.795508	3504739.068216	9.946608
344788.365561	3504484.696155	23.684029
345795.918415	3504230.329022	54.132416
346803.454089	3503975.966796	79.076706
347810.972599	3503721.609452	83.054016
348818.473960	3503467.256967	63.449448
349825.958191	3503212.909318	64.016678
350833.425307	3502958.566481	78.383110
351840.875325	3502704.228434	94.589714
352848.308263	3502449.895153	347.875519
353855.724136	3502195.566615	22.062189
354863.122961	3501941.242796	18.695244
355870.504755	3501686.923673	334.637543
356877.869535	3501432.609223	12.438381
357885.217317	3501178.299423	8.829692
358892.548117	3500923.994248	5.436890
359899.861954	3500669.693677	9.765297
360907.158842	3500415.397685	13.365639
361914.438799	3500161.106249	11.277318
362921.701842	3499906.819346	22.828257
363928.947986	3499652.536953	3.804939
364936.177250	3499398.259046	8.447842
365943.389649	3499143.985601	35.280773
366950.585200	3498889.716597	2.912261
367957.763919	3498635.452008	1.718022
368964.925824	3498381.191813	1.026282
369972.070931	3498126.935987	1.856721
370979.199256	3497872.684507	3.281219
371986.310816	3497618.437350	3.664861
372993.405629	3497364.194493	6.076659
374000.483710	3497109.955912	3.878559
375007.545076	3496855.721583	12.881118
376014.589743	3496601.491484	17.154942
377021.617729	3496347.265591	4.237905
378028.629051	3496093.043881	2.718858
379035.623723	3495838.826330	3.396709
380042.601764	3495584.612916	3.263387
381049.563190	3495330.403613	4.521892
382056.508018	3495076.198401	49.512489
383063.436263	3494821.997254	3.344975
385077.243075	3494313.607064	0.340774
340467.025865	3504636.349996	2.570697
341474.626645	3504381.959444	2.428777
342482.210166	3504127.573866	5.251076
343489.776444	3503873.193241	9.889680
344497.325495	3503618.817545	18.791801
345504.857337	3503364.446754	55.542461
346512.371986	3503110.080846	142.934235
347519.869458	3502855.719796	124.402779
348527.349771	3502601.363583	111.803886
349534.812941	3502347.012182	107.679344
350542.258985	3502092.665569	106.208496
351549.687919	3501838.323723	128.182770
352557.099760	3501583.986619	57.368641
353564.494524	3501329.654235	25.912643
354571.872229	3501075.326547	26.193827
355579.232891	3500821.003531	20.783575
356586.576526	3500566.685164	18.898306
357593.903152	3500312.371424	5.376631
358601.212785	3500058.062286	4.575082
359608.505441	3499803.757728	11.378434
360615.781137	3499549.457726	28.133471
361623.039891	3499295.162256	15.147528
362630.281717	3499040.871296	4.114053
363637.506634	3498786.584823	3.871594
364644.714658	3498532.302812	27.696106
365651.905805	3498278.025240	528.141541
366659.080092	3498023.752085	13.102864
367666.237536	3497769.483322	1.821704
368673.378154	3497515.218929	1.085129
369680.501961	3497260.958883	3.778389
370687.608975	3497006.703158	1.065205
371694.699212	3496752.451734	20.625772
372701.772690	3496498.204585	4.461444
373708.829423	3496243.961690	2.870993
374715.869430	3495989.723024	2.822842
375722.892727	3495735.488563	2.341361
376729.899330	3495481.258286	91.290604
377736.889256	3495227.032168	1.847074
378743.862522	3494972.810186	2.690990
379750.819145	3494718.592316	3.932800
380757.759140	3494464.378536	3.691103
381764.682525	3494210.168822	4.575876
382771.589316	3493955.963150	4.643574
383778.479529	3493701.761497	6.901500
384785.353183	3493447.563840	5.997209
385792.210292	3493193.370156	4.498080
387805.874945	3492684.994610	0.232648
388812.682523	3492430.812703	5.898543
389819.473623	3492176.634674	11.936312
391833.006456	3491668.290159	3.859953
392839.748223	3491414.123627	16.510010
343198.773228	3503007.295152	5.072059
344206.301270	3502752.915832	14.634885
345213.812091	3502498.541395	54.096432
346221.305708	3502244.171816	97.267281
347228.782135	3501989.807073	161.031799
348236.241392	3501735.447142	127.531807
349243.683493	3501481.092000	119.356705
350251.108456	3501226.741624	2739.008301
351258.516298	3500972.395990	143.564224
352265.907035	3500718.055076	69.242912
353273.280683	3500463.718857	44.726353
354280.637260	3500209.387310	26.513628
355287.976781	3499955.060413	161.980179
356295.299265	3499700.738142	27.865099
357302.604726	3499446.420473	30.369329
358309.893183	3499192.107384	10.317309
359317.164652	3498937.798851	19.089535
360324.419148	3498683.494850	126.204384
361331.656690	3498429.195359	16.164339
362338.877293	3498174.900353	5.488179
363346.080974	3497920.609811	3.884271
364353.267750	3497666.323708	5.655579
365360.437638	3497412.042021	155.418411
366367.590654	3497157.764726	8.303443
367374.726815	3496903.491801	9.476442
368381.846137	3496649.223223	4.437695
369388.948637	3496394.958967	1.293463
370396.034332	3496140.699010	2.163937
371403.103238	3495886.443329	18.797855
372410.155372	3495632.191901	5.350887
373417.190751	3495377.944703	2.212838
374424.209391	3495123.701711	1.355930
375431.211309	3494869.462901	1.993531
376438.196522	3494615.228250	116.456177
377445.165045	3494360.997736	1.420948
378452.116897	3494106.771334	1.340465
379459.052092	3493852.549022	1.511975
380465.970649	3493598.330775	6.397778
