UTM_X	UTM_Y	GDP值
475730.991246	4516854.356452	0.105448
476774.148971	4516657.162232	0.333919
477817.301852	4516460.006513	0.829969
478860.449907	4516262.889276	1.408813
479903.593152	4516065.810498	0.316344
480946.731606	4515868.770160	0.133885
475493.686382	4515992.453833	0.045192
476536.835095	4515795.249655	0.884563
477579.978952	4515598.083952	4.845054
478623.117972	4515400.956702	20.344681
480709.381567	4515006.817477	0.029752
475256.386279	4515130.544867	0.451920
476299.525967	4514933.330743	7.785575
477342.660787	4514736.155066	53.049202
478385.790759	4514539.017813	0.102702
456241.884929	4517825.255893	0.020282
457285.106406	4517627.336741	0.010141
475019.090947	4514268.629538	0.326387
476062.221597	4514071.405478	1.355760
477105.347368	4513874.219836	1.552095
487536.340641	4511904.471835	0.228471
488579.413913	4511707.707418	1.144864
489622.482517	4511510.981169	0.017575
490665.546473	4511314.293067	0.017575
537598.899096	4502502.472405	0.028880
456004.755326	4516963.508074	0.003380
457047.967959	4516765.579499	0.016901
472695.542457	4513801.291054	0.004126
475824.921995	4513209.473842	0.054085
476868.038704	4513012.278247	0.047604
487298.940723	4511042.429178	0.035149
488342.004806	4510845.654501	0.025107
489385.064211	4510648.917964	0.025107
491471.169056	4510255.559227	0.014876
532146.689853	4502615.301123	0.017575
537361.045239	4501639.905858	1.537851
538403.904704	4501444.938365	0.004126
468285.735505	4513729.049902	0.004689
469328.877820	4513531.575389	0.005501
470372.015127	4513334.139363	0.061885
471415.147445	4513136.741804	0.037131
472458.274791	4512939.382691	0.057760
475587.627172	4512347.535818	0.057465
486018.485854	4510377.203307	0.003380
488104.600324	4509983.595321	0.022596
489147.650516	4509786.848506	0.090384
490190.696036	4509590.139783	0.090384
491233.736902	4509393.469131	0.011901
516265.367277	4504684.740412	0.017055
528780.257287	4502338.504641	0.009840
529823.138366	4502143.227930	0.087873
531908.888594	4501752.786317	0.022596
533994.623034	4501362.493647	0.178513
535037.484378	4501167.403113	0.023802
537123.195404	4500777.333542	0.107837
538166.045120	4500582.354463	0.041257
468048.508765	4512867.174218	0.012503
469091.642072	4512669.689968	0.009401
470134.770361	4512472.244177	0.235036
471177.893648	4512274.836824	0.235036
472221.011952	4512077.467890	2.493007
473264.125289	4511880.137353	0.053634
486824.154810	4509318.325026	0.015064
487867.200477	4509121.529860	0.017575
488910.241444	4508924.772779	0.030128
489953.277726	4508728.053761	0.105448
490996.309343	4508531.372786	0.190414
492039.336312	4508334.729833	0.009266
510813.047044	4504801.634639	0.125533
511855.989054	4504605.710138	0.355171
512898.926769	4504409.823241	2.863872
513941.860207	4504213.973928	1.050863
514984.789386	4504018.162178	0.140303
516027.714324	4503822.387970	0.099149
517070.635037	4503626.651283	0.071405
518113.551544	4503430.952096	0.542304
519156.463863	4503235.290388	0.057398
521242.276006	4502844.079327	0.157005
528542.489171	4501476.018138	0.017575
529585.360578	4501280.730074	0.474516
530628.227992	4501085.479260	0.125533
531671.091430	4500890.265674	0.049495
532713.950910	4500695.089295	0.222729
533756.806449	4500499.950104	0.446796
534799.658066	4500304.848078	0.401655
535842.505777	4500109.783197	0.154711
536885.349601	4499914.755440	0.120472
537928.189556	4499719.764787	0.058411
466768.157580	4512202.824467	0.066011
467811.286915	4512005.292037	0.602560
468854.411201	4511807.798060	0.301280
469897.530458	4511610.342514	0.460947
470940.644701	4511412.925379	0.873281
471983.753950	4511215.546634	0.797241
473026.858221	4511018.206259	0.015042
489715.864036	4507865.961462	0.120460
509532.509109	4504135.303773	0.012503
510575.445953	4503939.330806	0.175747
511618.378473	4503743.395435	0.416519
512661.306687	4503547.497642	0.509618
513704.230612	4503351.637404	2.459640
514747.150267	4503155.814702	0.364086
515790.065669	4502960.029513	0.112428
516832.976835	4502764.281818	0.632688
517875.883784	4502568.571595	0.784373
518918.786533	4502372.898823	0.177168
519961.685100	4502177.263482	0.213521
521004.579502	4501981.665551	0.909296
522047.469757	4501786.105008	0.408688
527261.859453	4500808.862396	0.081840
528304.725200	4500613.525747	0.052724
529347.586924	4500418.226341	0.843584
530390.444643	4500222.964157	7.886002
531433.298374	4500027.739173	0.779551
532476.148136	4499832.551370	0.750256
533518.993946	4499637.400725	0.272224
534561.835822	4499442.287218	0.303472
535604.673782	4499247.210828	0.809260
536647.507842	4499052.171535	0.598708
466530.949650	4511340.945460	1.611848
467574.069963	4511143.403341	0.105448
468617.185216	4510945.899648	0.381669
469660.295428	4510748.434358	1.295598
470703.400615	4510551.007451	0.594896
471746.500796	4510353.618906	0.037121
472789.595988	4510156.268702	0.005955
509294.921883	4503273.004686	0.012377
510337.849235	4503077.020888	2.688923
511380.772252	4502881.074659	0.274174
512423.690952	4502685.165979	0.352914
513466.605352	4502489.294828	0.436367
514509.515470	4502293.461183	0.592153
