地址	城市	lat_transformed	lon_transformed	Price
上海市杨浦区长海一村	上海市	359756.5889822595	3465282.2995583527	54317.0
上海市杨浦区开鲁六村	上海市	359717.75784987444	3467092.9735020283	49634.0
上海市杨浦区长恒苑	上海市	359202.90987661586	3465004.0629844107	67543.0
上海市杨浦区东方名城	上海市	358921.863091173	3466084.555253986	76718.0
上海市杨浦区开鲁二村	上海市	359473.99493510387	3466583.924614231	50886.0
上海市杨浦区市京一村	上海市	359024.19963808137	3466274.3471483975	49409.0
上海市杨浦区开鲁路31弄	上海市	360858.6211833003	3466706.591388804	50402.0
上海市杨浦区工农四村星源公寓	上海市	360958.4403408489	3466495.9679389754	52998.0
上海市杨浦区国和大楼	上海市	359377.8884413565	3466372.797440592	59179.0
上海市杨浦区三门路36弄	上海市	358443.5488017874	3465286.515377731	53631.0
上海市杨浦区殷行路483号	上海市	360345.91950693796	3467128.8987336443	50027.0
上海市杨浦区开鲁路5号	上海市	360969.72792500845	3466736.665519003	40612.0
上海市杨浦区惠元新天地家园	上海市	359965.8319918426	3465155.351301053	97576.0
上海市杨浦区三门路48弄	上海市	358344.7631449166	3465249.5054139746	52754.0
上海市杨浦区开鲁五村	上海市	359430.7742789482	3467023.2254690113	56110.0
上海市杨浦区翔殷三村	上海市	360655.7219983707	3465068.466628847	61415.0
上海市杨浦区闸殷小区	上海市	359568.42750865244	3467350.5122464118	48881.0
上海市杨浦区殷行路280弄	上海市	360830.8715471346	3467171.0103643946	42504.0
上海市杨浦区工农四村星源佳苑	上海市	360933.98396704916	3466646.0591270304	75347.0
上海市杨浦区开鲁路286弄	上海市	360405.4145308564	3466849.8903211528	49658.0
上海市杨浦区中原路34弄	上海市	360056.08858287724	3465034.9511868386	61711.0
上海市杨浦区工农四村联银公寓	上海市	360649.8557601555	3466675.7706353674	59143.0
上海市杨浦区世界路91弄	上海市	359196.2139088254	3466168.9718370913	56523.0
上海市杨浦区殷行路296弄	上海市	360655.9874341311	3467153.905594331	49248.0
上海市杨浦区闸殷路195弄	上海市	359569.8447106404	3467349.3901226595	46219.0
上海市杨浦区民星路330弄	上海市	360986.07580485486	3465305.6737749265	51945.0
上海市杨浦区三门路11弄	上海市	358365.91345795966	3465337.8377259485	55323.0
