地址	城市	lat_transformed	lon_transformed	Price
北京市亦庄开发区区朗润园一期	北京市	453276.9189401881	4406102.491722378	73773.0
北京市亦庄开发区区首开保利熙悦诚郡	北京市	450483.07053391193	4407951.247451908	62177.0
北京市亦庄开发区区庑殿家苑C区	北京市	450910.921059297	4407582.595317617	37009.0
北京市亦庄开发区区庑殿家苑A区	北京市	450905.6485598998	4407901.918461355	40680.0
北京市东城区内务部街	北京市	450189.0225520922	4418787.04880998	194495.0
北京市东城区史家胡同20号院	北京市	450157.8003960914	4418682.4417902585	109045.0
北京市东城区史家胡同	北京市	450018.4287537725	4418712.274096812	174180.0
北京市东城区东罗圈胡同11号院	北京市	450266.46219556977	4418626.039185304	116184.0
北京市东城区东罗圈胡同	北京市	450325.4164878566	4418664.243481832	289713.0
北京市东城区西花厅胡同	北京市	450171.89590940025	4418931.53660867	182573.0
北京市东城区演乐胡同	北京市	450068.61726926337	4418958.396452071	162414.0
北京市东城区鸿安国际大厦	北京市	450284.73094753595	4419312.298441926	92503.0
北京市东城区干面胡同	北京市	450044.1986220217	4418555.305777277	155882.0
北京市东城区禾风相府	北京市	449987.89841833396	4419231.536455724	125048.0
北京市东城区禾风仕家	北京市	450056.48280282354	4419226.278906631	105706.0
北京市东城区礼士胡同甲66号院	北京市	450116.62504260824	4419105.419812128	110915.0
北京市东城区朝阳门内大街甲190号院	北京市	450202.11052637384	4419305.409520876	92289.0
北京市东城区后拐棒胡同甲2号院	北京市	450296.5963810198	4419267.841108033	117808.0
北京市丰台区七里庄路18号院	北京市	438986.099478371	4412218.361931742	50439.0
北京市丰台区西安街4号院	北京市	437845.9048249695	4410925.950774493	56654.0
北京市丰台区文体路乙11号院	北京市	438347.9296428801	4411569.979169499	65287.0
北京市丰台区文体路38号院	北京市	438439.8289091871	4411652.77463906	56658.0
北京市丰台区文体路甲3号院	北京市	438321.2404824902	4412069.587475406	57436.0
北京市丰台区西安街甲2号	北京市	437853.3508695548	4411108.238201994	64560.0
北京市丰台区西安街甲4号院	北京市	437846.25295978994	4410958.689608006	67053.0
北京市丰台区丰台西路7号院	北京市	437668.2650313172	4410909.878707936	59276.0
北京市丰台区丰管路58号院	北京市	439277.9114993464	4412045.0996873975	60767.0
北京市丰台区东幸福街	北京市	450803.4463660961	4415448.968351608	65119.0
北京市丰台区东营里1号院	北京市	439634.4582357217	4411864.733369356	52446.0
北京市丰台区福顺里	北京市	437967.38526443415	4410878.174291778	59955.0
北京市丰台区北大地一里	北京市	438007.69727237005	4411579.473451981	58477.0
北京市丰台区北大地三里	北京市	438047.7955195869	4411806.620998858	58121.0
北京市丰台区北大街	北京市	438412.0297097539	4412260.27878271	48812.0
北京市丰台区北大地四里	北京市	438189.1265136161	4412043.560006985	49517.0
北京市丰台区同盛里	北京市	438757.10089912906	4411189.839222673	71106.0
北京市丰台区西幸福街	北京市	438471.1660446267	4412166.582505267	62439.0
北京市丰台区永善里	北京市	438396.70498815377	4411128.982595818	60174.0
北京市丰台区邮局宿舍	北京市	438237.289310505	4411227.198803363	54672.0
北京市丰台区粮食局宿舍	北京市	438220.30886394077	4411572.545160804	55420.0
北京市丰台区东货场路38号院	北京市	439390.07358475955	4411635.86806519	46002.0
北京市丰台区东安街头条1号院	北京市	437728.4924543256	4411405.770240174	63893.0
北京市丰台区东安街头条	北京市	438471.1660446267	4412166.582505267	61441.0
北京市丰台区东安街头条甲3号	北京市	438471.1660446267	4412166.582505267	66235.0
北京市丰台区东大街35号院	北京市	439035.4127045445	4411832.623584506	51730.0
北京市丰台区东货场路40号院	北京市	439268.2998555669	4411625.425908158	60586.0
北京市丰台区北大地二里	北京市	438301.5986747355	4411823.93250629	54752.0
北京市丰台区电报局街	北京市	438406.79487938294	4411226.667811996	62375.0
北京市丰台区军民园	北京市	437366.9987934824	4412814.991587298	57309.0
北京市丰台区东大街	北京市	439094.6609110625	4412198.753680004	60105.0
北京市丰台区东安街头条20号	北京市	437685.8199730139	4411147.677286292	53286.0
北京市丰台区正阳小区	北京市	438563.4079867297	4411185.741656592	58468.0
北京市丰台区北大地三里16号院	北京市	437713.625149486	4411629.114943582	64062.0
北京市丰台区北大街南里	北京市	438558.23613277933	4412213.015844233	60737.0
北京市丰台区兴隆胡同	北京市	438471.1660446267	4412166.582505267	68909.0
北京市大兴区康达园	北京市	442298.1874606606	4401450.043422842	28258.0
北京市大兴区可可家园	北京市	440592.99844606506	4401486.562385846	46552.0
北京市大兴区康颐园	北京市	442101.205546469	4401360.676987548	35549.0
北京市大兴区青岛嘉园	北京市	442017.7191981413	4402462.259454008	49555.0
北京市大兴区翡翠城一期	北京市	441644.65677630896	4402922.056319186	66709.0
北京市大兴区翡翠城三期	北京市	441128.6405700474	4401437.746769836	59292.0
北京市大兴区翡翠城五期	北京市	441128.6405700474	4401437.746769836	60703.0
北京市大兴区云河墅	北京市	442015.60872346646	4401881.720459325	59739.0
北京市大兴区金地仰山东区	北京市	440786.6472381858	4401806.237067201	62041.0
北京市大兴区金惠园二里	北京市	441802.4540534414	4402712.699716351	38098.0
北京市大兴区康庄路9号院	北京市	442716.60841360834	4401179.51457526	34699.0
北京市大兴区翡翠城二期	北京市	441210.31585734204	4402494.826159249	52199.0
北京市大兴区双高花园	北京市	442699.40694328095	4402451.785808229	40401.0
北京市大兴区原生墅	北京市	441707.57250604493	4401227.905618103	53908.0
北京市大兴区郁花园二里	北京市	442351.28654693	4402812.735690944	41963.0
北京市大兴区郁花园一里	北京市	442564.75363906677	4402617.269618076	40843.0
北京市大兴区天恒世界集	北京市	444467.3189829581	4402267.711722651	29427.0
北京市大兴区兴创屹墅	北京市	442752.49315940385	4402117.750085745	77102.0
北京市大兴区金地仰山西区	北京市	440540.2723602598	4401767.664189296	54039.0
北京市大兴区新里西斯莱公馆	北京市	442747.6878125375	4401743.780749962	52324.0
北京市大兴区康盛园	北京市	440802.39562982315	4401382.782052738	41363.0
北京市大兴区旭辉紫郡	北京市	440589.8492216966	4401287.044389818	67670.0
北京市大兴区旭辉御府	北京市	440756.8395929447	4402055.69936129	53774.0
北京市大兴区兴涛社区	北京市	441662.5986033072	4401760.750913048	50002.0
北京市大兴区华润公元九里	北京市	441188.3194166396	4401767.875917872	61025.0
北京市大兴区郁花园三里	北京市	442356.19016629254	4402448.544660987	47599.0
北京市大兴区泰中花园	北京市	443492.5149435139	4401314.741655349	30754.0
北京市大兴区顺驰领海	北京市	441089.2991642965	4402877.17505342	46703.0
北京市大兴区泰中花园	北京市	443492.5149435139	4401314.741655349	30754.0
北京市大兴区金惠园三里南区	北京市	441698.72184254567	4402383.45448771	38699.0
北京市大兴区顺驰领海	北京市	441089.2991642965	4402877.17505342	46703.0
北京市大兴区保利茉莉公馆	北京市	441996.41779556114	4402859.799836161	59302.0
北京市大兴区盛春坊	北京市	443180.98270155594	4402862.563638466	55559.0
北京市丰台区西宸原著	北京市	440417.0865321435	4413802.9839254245	122341.0
北京市丰台区精图小区56号院	北京市	440805.13142451335	4413991.736220924	49136.0
北京市丰台区丰管路甲52号院	北京市	439742.68687014584	4411947.336503562	59988.0
北京市丰台区东瑞丽景	北京市	435948.1025735261	4450984.631112944	61503.0
北京市丰台区丽泽景园	北京市	440152.95228226495	4412834.361197016	73588.0
北京市丰台区前泥洼小区	北京市	439782.36602650734	4411834.615147286	56742.0
北京市丰台区盛鑫嘉园	北京市	439877.31144364923	4412186.502979299	62479.0
北京市丰台区泥洼路32号院	北京市	439661.7103130396	4412260.811385106	57567.0
北京市丰台区泥洼路30号院	北京市	439725.11823016126	4412257.068003307	73539.0
北京市丰台区玉璞家园	北京市	440404.6638769895	4413929.862637849	57442.0
北京市丰台区泰禾西府大院	北京市	440232.0447840348	4413835.266769831	146537.0
北京市丰台区丰益花园西区	北京市	440305.9782913886	4412244.226669968	62785.0
北京市丰台区丰益花园东区	北京市	440541.61580859596	4412259.934753983	61112.0
北京市丰台区益丰苑	北京市	440348.89036538947	4414234.213841378	92271.0
北京市丰台区保利百合	北京市	440039.92770524346	4414012.794772615	98759.0
北京市丰台区东局	北京市	441060.46715784026	4413903.793142961	71342.0
北京市朝阳区汉华苑	北京市	453677.5282142466	4413408.759976574	56941.0
北京市朝阳区弘燕路小区	北京市	454669.47092149797	4413012.529129022	47798.0
北京市朝阳区香榭舍	北京市	453764.8462711002	4413274.223219206	32363.0
北京市朝阳区方华苑	北京市	453873.85739160905	4413295.008412695	52585.0
北京市朝阳区东景苑	北京市	453868.90311944927	4413385.475105319	52825.0
北京市朝阳区山水文园二期	北京市	454111.8106765753	4413047.653368659	88607.0
北京市朝阳区书香亭	北京市	453870.8624688502	4413426.422895139	51665.0
北京市朝阳区御景园	北京市	453464.4091130965	4413179.529299683	47684.0
北京市朝阳区龙头公寓	北京市	453679.17858037434	4413181.903170226	55139.0
北京市朝阳区周庄嘉园东里B区	北京市	454486.9431608527	4412915.744954609	53853.0
北京市朝阳区山水文园四期	北京市	453761.23266637383	4412984.341241642	94024.0
