地址	城市	lat_transformed	lon_transformed	Price
杭州市桐庐区凯全紫郡花苑	杭州市	3298215.3502452318	471422.5595097865	21115.0
杭州市桐庐区桐庐碧桂园	杭州市	3294420.938844378	469974.0695374933	14900.0
杭州市桐庐区香樟花园	杭州市	3299372.5934714302	470936.093923468	14313.0
杭州市桐庐区悦城·春江美庐	杭州市	3305143.109573762	477394.0626979016	12442.0
杭州市桐庐区申基金色蓝庭	杭州市	3296112.39788835	469073.38520384766	12812.0
杭州市桐庐区乔林新城	杭州市	3296478.087664202	469156.542560532	11302.0
杭州市桐庐区金都花园	杭州市	3299181.2351130964	468306.165304422	12136.0
杭州市桐庐区江山御墅	杭州市	3294455.5738413734	466949.7567079863	12218.0
杭州市桐庐区安居苑	杭州市	3297622.0556681016	469731.30282224895	9067.0
杭州市桐庐区上尚府	杭州市	3296734.0605387613	468099.4380717264	19547.0
杭州市桐庐区绿都文昌苑	杭州市	3297730.375976912	470739.1566236323	12610.0
杭州市桐庐区家景星城	杭州市	3298334.1240353826	469840.2595951618	12721.0
杭州市桐庐区秀水公寓	杭州市	3299594.8248717044	467990.33638114645	12259.0
杭州市桐庐区君豪御园	杭州市	3303947.5708112456	477911.62252557086	7439.0
杭州市桐庐区乔林新城	杭州市	3296478.087664202	469156.542560532	11302.0
杭州市桐庐区中兴近江家园	杭州市	3302910.6416382305	462408.64050788013	6129.0
杭州市桐庐区品庐东岸	杭州市	3297622.0556681016	469731.30282224895	12523.0
杭州市桐庐区桐君广场	杭州市	3299222.7636202364	468824.2426579291	6460.0
杭州市桐庐区聆江景园	杭州市	3299205.046128308	470501.51586055366	13910.0
杭州市桐庐区水岸华庭	杭州市	3299145.2996121845	470331.22818444174	16538.0
杭州市桐庐区洋塘小区	杭州市	3299091.971293645	467418.75889668067	8551.0
杭州市桐庐区圆通路	杭州市	3298381.836745447	467762.8922734342	7318.0
杭州市桐庐区洋塘路166号	杭州市	3298912.089985051	467351.2569174794	11220.0
杭州市桐庐区江南人家	杭州市	3295231.4883754603	469854.0169173931	18612.0
杭州市桐庐区小岭路	杭州市	3298854.566281906	467741.63824648334	8468.0
杭州市桐庐区金马新苑	杭州市	3297533.7962046145	468935.49466870946	11052.0
杭州市桐庐区学田路	杭州市	3299377.9289179533	468271.67180610925	11450.0
杭州市桐庐区君奇商住楼	杭州市	3296984.8867276204	468763.5964540417	10090.0
杭州市桐庐区城中小区	杭州市	3297703.21942312	469126.2431918355	10830.0
杭州市桐庐区大奇山居层林园	杭州市	3296024.6706174538	470946.83170773735	18016.0
杭州市桐庐区小岭路105号	杭州市	3298845.0028498517	467638.9075762213	8602.0
杭州市桐庐区临江公寓	杭州市	3297622.0556681016	469731.30282224895	10983.0
杭州市桐庐区慧园	杭州市	3297622.0556681016	469731.30282224895	11781.0
杭州市余杭区人和家园	杭州市	3346897.845781643	503589.9681760115	21432.0
杭州市余杭区九月森林	杭州市	3350736.0753720254	497509.15568241995	59058.0
杭州市西湖区华星路97号院	杭州市	3351261.485399166	511287.1743484245	31323.0
杭州市西湖区华星公寓	杭州市	3351276.8667633175	511377.96956873394	36459.0
杭州市西湖区天苑花园	杭州市	3351112.752718339	511349.61552533496	32621.0
杭州市西湖区华星路88号	杭州市	3351335.731302671	511380.4098422212	38259.0
杭州市西湖区明珠公寓	杭州市	3351164.7184256734	511441.24146908557	43144.0
杭州市西湖区西湖区教师公寓	杭州市	3351523.823717225	511424.4500734951	38585.0
杭州市西湖区翠苑二区北区	杭州市	3352467.551955911	511803.90139238484	31952.0
杭州市西湖区翠锦苑	杭州市	3352756.6567269047	511858.2328961432	34886.0
杭州市西湖区学苑春晓	杭州市	3352878.9737709244	511834.6630860977	44072.0
杭州市西湖区文菁花苑	杭州市	3352456.920424707	511570.4163659651	39260.0
杭州市西湖区华星路12号	杭州市	3351334.269249394	511618.7367143252	31700.0
杭州市西湖区翠苑四区南园	杭州市	3351926.869467122	511377.53450029454	32825.0
杭州市西湖区万塘路300号	杭州市	3351546.6167808017	511505.50240118976	35019.0
杭州市西湖区翠苑逸景湾	杭州市	3352823.610926156	511221.6373572074	35120.0
杭州市西湖区中海黄龙云起	杭州市	3351416.4846646306	511604.2781081011	98063.0
杭州市西湖区古翠蓝庭	杭州市	3349113.916697468	512090.4526908139	75251.0
杭州市西湖区翠苑三区	杭州市	3352465.096836522	510984.5408962363	33332.0
杭州市西湖区翠苑东四区	杭州市	3349113.916697468	512090.4526908139	34895.0
杭州市西湖区翠苑佳居	杭州市	3352856.650462565	511430.76632708596	37068.0
杭州市西湖区翠苑新村五区	杭州市	3351772.5555587774	511267.13641491695	34415.0
杭州市西湖区翠苑四区	杭州市	3352212.4505919497	511025.77635379904	34278.0
杭州市西湖区翠苑一区	杭州市	3352308.6297295406	511863.28303083236	39136.0
杭州市西湖区枫华府第	杭州市	3351531.7321186587	511872.6688998177	55337.0
杭州市西湖区景城花园	杭州市	3351245.589479707	511806.6614287069	50958.0
杭州市西湖区翠苑二区	杭州市	3352467.551955911	511803.90139238484	35919.0
杭州市西湖区中竹大厦公寓	杭州市	3352324.9133552187	511058.6176570326	33189.0
杭州市上城区钱江时代公寓	杭州市	3346445.507336342	519307.342257571	49712.0
杭州市上城区江韵园	杭州市	3345795.067159501	519123.24578616396	64462.0
杭州市上城区恒丰坊	杭州市	3346635.657085166	518969.72737865493	41027.0
杭州市上城区文华苑	杭州市	3346419.9252114645	518964.32663494814	42786.0
杭州市上城区望江家园西园	杭州市	3346140.219229527	517723.16898486845	40577.0
杭州市上城区近江家园八园	杭州市	3346241.52289762	518794.5982870542	44947.0
杭州市上城区近江家园七园	杭州市	3346241.52289762	518794.5982870542	45552.0
杭州市上城区近江家园九园	杭州市	3346241.52289762	518794.5982870542	44116.0
杭州市上城区近江家园二园	杭州市	3346241.52289762	518794.5982870542	48436.0
杭州市上城区怡和苑	杭州市	3346168.33023959	519164.16064201406	43094.0
杭州市上城区近江家园六园	杭州市	3346316.763824996	518662.3383520589	43818.0
杭州市上城区耀江福村	杭州市	3346435.021544069	518813.1681222175	43227.0
杭州市上城区滨江家园	杭州市	3346225.063922582	519317.6859257326	40072.0
杭州市上城区婺江家园二园	杭州市	3346631.1223239456	518165.7797097059	42211.0
杭州市上城区婺江家园一园	杭州市	3346486.2092604423	518248.7502225977	45468.0
杭州市上城区近江家园五园	杭州市	3346241.52289762	518794.5982870542	48222.0
