lon	lat	Level1	Level2
3439635.534444538	322651.37594846555	2	3
3440528.3895670194	321874.80814285006	4	10
3440389.732275724	322639.29018636025	4	10
3440121.2218831535	320399.8294421351	4	10
3440827.5876436415	323124.5297509013	0	0
3437381.590658343	323323.1838081929	4	10
3437600.2474137666	322825.24242190097	4	10
3437540.6676905625	323499.67128669325	3	5
3438128.7513312083	323803.0195662464	0	0
3438136.901533504	324091.7093445285	0	0
3438112.603785574	324055.32535158604	0	0
3438061.8755569085	323991.03008752316	0	0
3438029.8116536206	323942.4789093613	0	0
3437995.457054923	323911.89631784696	0	0
3422592.9567069868	327230.03425338224	4	10
3422735.901332794	327920.7286200412	4	10
3422919.7597893127	327243.431596222	2	3
3422910.2851132266	327886.07334469556	2	3
3423191.505486034	327234.55503603973	2	3
3422978.654352639	328360.977988057	4	10
3423180.5727031776	327880.0407541213	2	3
3423844.41178473	325624.6673141953	4	7
3423507.218476689	327164.4427844391	2	3
3424222.2629386643	326063.780878871	4	10
3423741.7946068496	326525.15822510794	2	3
3423114.7459140187	326683.13162513357	4	10
3424431.2688586316	325724.12915527506	4	10
3423487.9997695563	327871.15461884026	2	3
3423958.8580922075	326958.4456998042	2	3
3423402.490740586	328488.6085875601	0	0
3423910.2297541075	328460.74547986424	4	10
3423794.415237816	330188.6244422598	2	3
3423503.627925177	329862.0874538591	2	3
3423690.589621813	329281.3851545528	2	3
3424111.5495385565	329761.99023152405	2	3
3424120.9352553496	329796.55809703073	2	3
3424130.32108177	329831.1258954554	2	3
3423193.840253561	329103.78568784357	4	10
3423012.7871152037	328804.8170920799	4	7
3422480.264132741	327025.39345104335	4	10
3424549.598027344	325227.20197235874	2	3
3424393.726750494	328644.6771356098	2	3
3424220.9485481987	329770.5269381541	2	3
3424238.601116239	329791.8257700208	2	3
3424380.826133443	330255.32583368215	2	3
3424177.0348119335	329825.7187760342	2	3
3424166.9161525085	329785.4157173183	2	3
3424157.530479797	329750.8479778429	2	3
3424148.144916713	329716.2801712844	2	3
3424467.9634629334	326432.55969118053	4	10
3406642.016308755	325499.00888535153	4	10
3407496.5341039244	323139.89953736437	4	9
3407207.7052344596	324850.01831097936	4	10
3407433.458601551	325866.61821788555	2	3
3407083.0887618945	325800.2195157512	4	10
