lon	lat	Level1	Level2
4372490.138252998	439348.1470892025	4	10
4371545.219972677	440888.6405143603	4	10
4372552.06064487	440378.9413690541	4	10
4372839.072285036	439334.6203462067	4	10
4372434.508519155	440952.96008693165	4	10
4372826.790878906	439829.1237028084	2	3
4372808.632582662	440386.5110459466	2	3
4372778.213201409	440984.8914290247	2	3
4372934.47111377	438983.5252165389	4	10
4371817.98682283	440025.83842876105	4	10
4370010.410152036	440704.994329566	4	10
4373304.172460521	439382.6225656988	4	10
4373266.788773787	439839.00420345215	4	10
4373237.168645775	440397.9795184694	2	3
4373201.668287824	441020.53032535093	4	10
4373220.177906252	438089.5900776379	4	10
4374250.693227367	436430.1537693616	4	10
4374095.582497496	435688.1851082324	4	10
4373783.924489957	439376.0928904584	4	10
4373796.766371454	439859.0126616517	4	10
4373349.730308838	442566.4569636737	4	10
4373349.0825894885	442857.016870096	4	10
4374010.795975872	438594.56935844483	4	10
4373348.568727414	443090.6364487633	0	0
4373784.492997973	440419.32705754635	4	7
4373466.141030978	442574.9391197692	4	10
4374445.095566756	438935.2706230807	4	10
4373699.921121584	439032.2907225628	4	10
4373466.813304067	442856.7586060756	4	10
4373466.9047878655	443091.15324087034	0	0
4373463.435608771	443283.27464463183	4	10
4373755.58076827	441060.5587648298	0	0
4374226.270763831	439424.6706279256	4	10
4372563.563788225	441906.7189479793	4	10
4370182.44739046	441424.6271465189	4	10
4374119.61517253	440986.38467879314	4	7
4374201.716510108	440438.87314831145	4	7
4374291.23982999	439863.8733524189	4	10
4373759.570107621	441826.9525867681	4	10
4374475.64474563	440440.6808327811	2	3
4374395.946539807	440973.1045235729	4	10
4374589.023094412	440998.52502427966	4	10
4374575.306574671	441114.883668214	4	10
4374559.783032344	441224.48009068135	4	10
4374547.4949419955	441309.7350807532	2	3
4374291.386117785	441371.60043633234	4	10
4374725.919724808	441011.7724577531	4	10
4374703.868680096	441164.68285695213	4	10
4374683.813615266	441322.8986328065	2	3
4374666.921816261	441459.4527122985	2	3
4375348.33955501	436543.86696611816	4	10
4376848.701375628	435582.25619378145	4	10
4375408.5881182235	438494.97683024313	4	10
4375582.057422983	439118.3552697221	4	10
4375088.509607388	441386.06662999076	4	10
4374945.278845979	441088.7910237396	4	10
4374844.448437793	440232.0787140113	4	10
4374678.806290609	438978.2640119034	4	10
4374285.207555639	442320.08754855965	4	10
4369739.311771888	441419.64672721067	4	10
4377782.479201969	435927.01372015633	4	10
4383887.1020135	436351.85967552476	4	10
4383838.7544504665	437316.6936999321	4	10
4383783.216340776	437664.7346863101	4	10
4384324.109784047	437670.9376924176	4	8
4384505.769021917	436463.259804191	4	10
4368033.001143274	442499.359212789	4	10
4370300.326197309	443630.48335861927	4	10
4369869.7673665285	442414.091180644	4	10
4370310.979256797	444019.042187683	4	10
