FID,gridcode,AREA,PERCENTAGE
0,45759,0.000005541195288,99.999999464715131
1,26303,0.009298567688000,3.272645140096948
1,45759,0.274831464439279,96.727354859568294
2,34408,0.038629318311978,7.919415051179334
2,35659,0.002088894518757,0.428245265903229
2,45759,0.175831272102149,36.047253319559275
2,48656,0.271230459196800,55.605086363519185
3,20419,0.007194792335105,100.000000000610711
4,20419,0.343377998122578,51.964547296540744
4,26303,0.158172495634334,23.936775726289046
4,34408,0.067734515120872,10.250491976338880
4,45759,0.091507812360930,13.848185001460287
5,28228,0.077044595292935,100.000000000575312
6,28228,0.015108885801064,1.264782936023615
6,32662,0.636714822905579,53.300160827715260
6,35659,0.233703138130046,19.563569749216285
6,42443,0.122234666335733,10.232410397932293
6,48656,0.186821792051078,15.639076089046958
7,14645,0.088676755318582,12.283269446206333
7,20419,0.318784319222000,44.157160173053434
7,34408,0.314312510868360,43.537737115430048
7,45759,0.000157621159367,0.021833265820064
8,34006,0.015191623929291,2.978027853433754
8,34408,0.018888489433304,3.702727759947453
8,35659,0.409345254790440,80.244322536607100
8,48656,0.066698266579666,13.074921849995050
9,14645,0.012910084134341,70.450411506561977
9,20419,0.005414981480164,29.549588492859947
10,14645,0.011870864819794,100.000000001972111
11,31191,0.002811441629543,79.330890425276507
11,33828,0.000732501486474,20.669109594576799
12,31191,0.000040355165767,99.999999999513051
13,28228,0.089322217812320,14.528497297117848
13,31191,0.522309468387908,84.955030065163712
13,33828,0.003175309908021,0.516472637447636
14,31191,0.005119186230172,99.999999987392826
15,28228,0.006291122751801,0.637498182136408
15,31191,0.025239328300486,2.557576214086449
15,32662,0.148274472559014,15.025093364542647
15,34006,0.115385280838950,11.692333734717458
15,34920,0.663043499221602,67.188170078248405
15,35659,0.028611894963100,2.899328426111645
16,31191,0.000565068649760,5.046288792400190
16,34920,0.010632638671048,94.953711167872697
17,27505,0.003370788504028,41.727687607954039
17,33518,0.000184910426436,2.289044388444393
17,34006,0.004520837078774,55.964376621123712
17,34920,0.000001526058739,0.018891396558571
18,14645,0.453014838829869,19.256810881509903
18,27505,0.834262537278146,35.462935270266506
18,33518,0.013915397814745,0.591517453935237
18,34006,0.550755111004961,23.411566477694464
18,34408,0.334429762595788,14.215981772451199
18,35659,0.125737849028875,5.344880060995566
18,50322,0.040376001739538,1.716308083104079
19,23006,0.559245659100008,31.315439878080841
19,26152,0.103936910009300,5.820036335637749
19,27505,0.004569760645388,0.255887662996195
19,33518,0.704986214463706,39.476307155324832
19,34006,0.093813828220436,5.253185696778555
19,34920,0.007000013533946,0.391971755884169
19,50322,0.312294024862864,17.487171515314408
20,50322,0.016951304496471,99.999999994195889
21,15929,0.000008671783317,99.999999753961177
22,15929,0.000609054291250,100.000000029282134
23,15929,0.001584993401162,99.999999999122750
24,20718,0.000007647394191,99.999999392635047
25,13973,0.530489789873937,21.705095611674555
25,15929,0.355208059638541,14.533408641708368
25,20718,0.600284434231492,24.560757413051647
25,23006,0.271673209160374,11.115563565054932
25,26152,0.231915968270240,9.488888120496787
25,33518,0.080058667621493,3.275616361401986
25,47458,0.366850055999189,15.009743245959035
25,50322,0.007599304026422,0.310927040678516
26,47458,0.230835737546725,58.504483018929633
26,63866,0.163725030513302,41.495516982071869
27,63866,0.005965817897014,99.999999993021447
28,36947,0.000343046389209,0.149390191479800
28,41424,0.096672705660820,42.099128467298094
28,63866,0.132615380896488,57.751481340442382
29,47032,0.000500738669793,78.249026013247587
29,63866,0.000139190918129,21.750973972143417
30,8099,0.019076267445428,0.227236387319242
30,9624,0.832014736426384,9.910954721239872
30,11872,0.681602579955839,8.119245984557509
30,12356,0.133808566141178,1.593926864847762
30,12416,0.155919655807948,1.857314036889781
30,13145,0.622165858421698,7.411236101903309
30,14059,0.178788465894228,2.129727170180251
30,15929,0.178130198544872,2.121885893327440
30,16915,0.857674696558955,10.216616017715278
30,18278,0.857674696558955,10.216616017715278
30,19515,0.122515499164228,1.459403916428347
30,20279,0.857674696538479,10.216616017471363
30,20433,0.857674696538479,10.216616017471363
30,22508,0.026284430726415,0.313099986572309
30,24502,0.000289426480209,0.003447646555880
30,25370,0.857674696558955,10.216616017715278
30,26152,0.467343023915680,5.566987394009271
30,31191,0.213248069756349,2.540209771794081
30,33828,0.346291878707157,4.125026853419670
30,34920,0.129047845054200,1.537217182834014
31,8099,0.000053086802016,99.999999861042113
32,8099,0.000029795825401,99.999999872947669
33,7302,0.233217175064788,5.578654281655695
33,7635,0.485470078548146,11.612651304759115
33,8145,0.295475239550443,7.067893733741553
33,8497,0.857674696557493,20.515944492034190
33,9279,0.175883412753207,4.207206237513673
33,9753,0.854904185757409,20.449672692227995
33,11839,0.723965995080728,17.317575333412989
33,11872,0.131763449545234,3.151837902877631
33,12356,0.062147687641532,1.486599190904880
33,13145,0.204136407428069,4.883029918461394
33,16039,0.147168739265237,3.520339002476178
33,24502,0.001185440444768,0.028356240963014
33,26752,0.007534968884650,0.180239668964430
34,4646,0.011632588959488,1.216613981350424
34,4681,0.000093913558058,0.009822108231452
34,7509,0.342716446940823,35.843578969311402
34,7635,0.154851888060568,16.195446491671706
34,9279,0.110075979187084,11.512482367961137
34,10516,0.336773789374098,35.222056081566052
35,60046,0.001928488329777,100.000000001974769
36,26524,0.004746932773338,0.648674634737520
36,41246,0.349793768341122,47.799780562846784
36,47032,0.332354153465209,45.416634150254723
36,47458,0.029499278760434,4.031115414657411
36,63866,0.015395352349103,2.103795237590334
37,31960,0.020093171403506,12.329255308895551
37,42055,0.021674033498679,13.299279004415798
